"Id"|"Titulo"|"Precio"|"Modelo_anyo"|"Kilometros"|"Ubicacion"|"URL"|"Color"|"Combustible"|"Recorrido"|"Marca"|"Departamento"|"Ciudad"|"Barrio"|"Modelo"|"Unico"|"Placa"|"Anyo"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"fecha_grabacion"
30|"Mazda 2"|"$ 22.900.000"|"2009"|"81.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454848838-mazda-2-_JM"|"Gris"|"Gasolina"|"81000"|"Mazda"|"Bogotá D.c. "|" Engativa"|" Normandía"|"Mazda 2"|"Sí"|"AAAAA3"|"2009"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"No"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|||||||||||||1|1|1|||1||||2017-09-04
31|"Mazda 2 Mazda 2"|"$ 22.500.000"|"2009"|"112.600 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454464371-mazda-2-mecanico-15-full-equipo-_JM"|"Rojo"|"Gasolina"|"112600"|"Mazda"|"Bogotá D.c. "|" Usaquén"|" Cedritos"|"Mazda 2"|"No"|"DCE 383"|"2009"|"Mazda 2"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|||||||||||1|1||1|||1||||2017-09-04
32|"Mazda 2 Hb"|"$ 26.300.000"|"2011"|"93.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-453601354-mazda-mazda-2-hb-_JM"|"Azul"|"Gasolina"|"93000"|"Mazda"|"Bogotá D.c. "|" Kennedy"|" Alsacia"|"Mazda 2"|"No"|"RDO-135"|"2011"|"HB"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1498"|"Sí"|"No"|"CD"||"Mecánica"|"Eléctricos"||||||||||1|1|1|1|1|1|1||1|||1|2017-09-04
33|"Mazda 2 Hb Aut"|"$ 33.000.000"|"2012"|"77.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-453533371-mazda-mazda-2-hb-aut-_JM"|"Gris"|"Gasolina"|"77000"|"Mazda"|"Antioquia "|" Medellín"||"Mazda 2"|"No"|"RLX-899"|"2012"|"HB AUT"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1||||||||||1|1|1||1|1||1|||1|2017-09-04
34|"Mazda 2"|"$ 29.500.000"|"2011"|"66.900 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-453452565-mazda-mazda-2-_JM"|"Azul"|"Gasolina"|"66900"|"Mazda"|"Bogotá D.c. "|" Usaquén"|" Cedritos"|"Mazda 2"|"Sí"|"RHP-436"|"2011"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"CD"||"Automática"|"Eléctricos"|1||||||||||||1|||||1||||2017-09-04
35|"Mazda 2 Hb"|"$ 25.900.000"|"2009"|"83.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454496306-mazda-mazda-2-hb-_JM"|"Rojo"|"Gasolina"|"83000"|"Mazda"|"Antioquia "|" Medellín"||"Mazda 2"|"No"|"FHD-734"|"2009"|"HB"|"Sí"|"Sí"|"Sí"|"Tela"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1||1||||||1||1|1||1|1|||||1|2017-09-04
36|"Mazda 2 Grand Turing"|"$ 53.000.000"|"2017"|"10.224 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455185775-mazda-mazda-2-grand-turing-_JM"|"Blanco"|"Gasolina"|"10224"|"Mazda"|"Bogotá D.c. "|" Usaquén"|" Bosque de Pinos"|"Mazda 2"|"Sí"|"*** **0"|"2017"|"Grand Turing"|"Sí"|"Sí"|"Sí"|"Cuero"||"Asistida"||"1500"|"Sí"|"No"|"CD"|"4x2"|"Automática"|"Eléctricos"|1||||1|||||1||1|1||1|1||1||||2017-09-04
37|"Mazda 2"|"$ 34.500.000"|"2014"|"52.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454826429-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"52000"|"Mazda"|"Antioquia "|" Medellín"||"Mazda 2"|"No"|"XXXXX8"|"2014"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"||||||||||||||||||||||2017-09-04
38|"Mazda 2 Spoiler Y Estribos De Lujo, Cuero, D..."|"$ 29.800.000"|"2012"|"62.200 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-453862090-mazda-2-spoiler-y-estribos-de-lujo-cuero-dvd-gps-tv-tdt-_JM"|"Rojo"|"Gasolina"|"62200"|"Mazda"|"Bogotá D.c. "|" Suba"|" Colina Campestre I y II Etapa"|"Mazda 2"|"No"|"RNW480"|"2012"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"||"Automática"|"Eléctricos"|1||||1|||1||||1|1||1|1||1||||2017-09-04
39|"Mazda 2"|"$ 31.900.000"|"2011"|"73.546 Km"|"Risaralda"|"http://articulo.tucarro.com.co/MCO-452296580-mazda-mazda-2-_JM"|"Blanco"|"Gasolina"|"73546"|"Mazda"|"Risaralda "|" Pereira"||"Mazda 2"||"DXR-494"|"2011"|||"Sí"|"Sí"|"Cuero"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|||||||||||1|||||||||||2017-09-04
