"Id"|"Titulo"|"Precio"|"Modelo_anyo"|"Kilometros"|"Ubicacion"|"URL"|"Color"|"Combustible"|"Recorrido"|"Marca"|"Modelo"|"Unico"|"Placa"|"Anyo"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"fecha_grabacion"
516|"Mazda 2 2011"|"$ 29.900.000"|"2011"|"75.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454119801-mazda-mazda-2-2011-_JM"|"Plateado"||"75000"|"Mazda"|"Mazda 2"||"BXT788"|"2011"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
517|"Mazda 2"|"$ 28.300.000"|"2013"|"54.000 Km"|"Tolima"|"http://articulo.tucarro.com.co/MCO-454471152-mazda-mazda-2-_JM"|"Beige"|"Gasolina"|"54000"|"Mazda"|"Mazda 2"|"Sí"|"MWN651"|"2013"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"||"Mecánica"|||||||||||||||||||||||2017-08-18
518|"Mazda 2 2009"|"$ 21.600.000"|"2009"|"130.000 Km"|"Valle Del Cauca"|"http://articulo.tucarro.com.co/MCO-454237639-mazda-mazda-2-2009-_JM"|"Rojo"||"130000"|"Mazda"|"Mazda 2"||"cuq042"|"2009"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
519|"Mazda 2 1.5 Aut"|"$ 23.500.000"|"2008"|"95.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454434070-mazda-2-_JM"|"Gris"|"Gasolina"|"95000"|"Mazda"|"Mazda 2"|"No"|"221"|"2008"|"1.5 AUT"|"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|"No"|"1600"|"Sí"|"No"|"CD"|"4x2"|"Automática"|"Eléctricos"||||||||||1|1|1|1|1||||||||2017-08-18
520|"Mazda 2 2011"|"$ 28.900.000"|"2011"|"70.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454418240-mazda-mazda-2-2011-_JM"|"Gris"||"70000"|"Mazda"|"Mazda 2"||"BXU083"|"2011"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
521|"Mazda 2 2012"|"$ 32.800.000"|"2012"|"80.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454391754-mazda-mazda-2-2012-_JM"|"Blanco"||"80000"|"Mazda"|"Mazda 2"||"bjj789"|"2012"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
522|"Mazda 2"|"$ 33.000.000"|"2013"|"72.000 Km"|"Risaralda"|"http://articulo.tucarro.com.co/MCO-454306100-mazda-2-_JM"|"Gris"||"72000"|"Mazda"|"Mazda 2"||"Kml188"|"2013"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
523|"Mazda 2 Mazda 2 Hatchback"|"$ 32.500.000"|"2015"|"38.000 Km"|"Cundinamarca"|"http://articulo.tucarro.com.co/MCO-454203125-mazda-mazda-2-_JM"|"Negro"|"Gasolina"|"38000"|"Mazda"|"Mazda 2"|"Sí"|"UCO740"|"2015"|"MAZDA 2 hatchback"|"Sí"|"Sí"|"Sí"|"Tela"||"Asistida"|"No"|"1498"|"Sí"|"No"|"R/Rep."|"4x2"|"Mecánica"|"Eléctricos"||||||||||||||||||1||||2017-08-18
524|"Mazda 2 2008"|"$ 24.500.000"|"2008"|"106.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454061625-mazda-mazda-2-2008-_JM"|"Negro"||"106000"|"Mazda"|"Mazda 2"||"DYR 861"|"2008"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
525|"Mazda 2 2012"|"$ 30.500.000"|"2012"|"110.306 Km"|"Risaralda"|"http://articulo.tucarro.com.co/MCO-454520671-mazda-mazda-2-2012-_JM"|"Plateado"||"110306"|"Mazda"|"Mazda 2"||"DHQ993"|"2012"|||||||"Mecánica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
526|"Mazda 2"|"$ 36.500.000"|"2015"|"37.000 Km"|"Bolívar"|"http://articulo.tucarro.com.co/MCO-454466366-mazda-mazda-2-_JM"|"Gris"||"37000"|"Mazda"|"Mazda 2"||"HWP-955"|"2015"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
527|"Mazda 2 Mecanico, Modelo 2015"|"$ 35.200.000"|"2015"|"42.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454255136-mazda-2-mecanico-modelo-2015-_JM"|"Gris"||"42000"|"Mazda"|"Mazda 2"||"HRN877"|"2015"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
528|"Mazda 2"|"$ 25.000.000"|"2010"|"108.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454165131-mazda-mazda-2-_JM"|"Gris"||"108000"|"Mazda"|"Mazda 2"||"8"|"2010"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
529|"Mazda 2 Mecanico, Modelo 2015"|"$ 35.200.000"|"2015"|"42.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454255136-mazda-2-mecanico-modelo-2015-_JM"|"Gris"||"42000"|"Mazda"|"Mazda 2"||"HRN877"|"2015"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
530|"Mazda 2"|"$ 25.000.000"|"2010"|"108.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454165131-mazda-mazda-2-_JM"|"Gris"||"108000"|"Mazda"|"Mazda 2"||"8"|"2010"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
531|"Mazda 2 Skyactive Touring Mecánico"|"$ 43.800.000"|"2016"|"24.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454354043-mazda-2-skyactive-touring-mecanico-_JM"|"Rojo"||"24000"|"Mazda"|"Mazda 2"||"IHQ552"|"2016"|||||||"Asistida"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
532|"Mazda 2 Touring"|"$ 48.000.000"|"2017"|"9.000 Km"|"Valle Del Cauca"|"http://articulo.tucarro.com.co/MCO-454211119-mazda-mazda-2-touring-_JM"|"Azul"|"Gasolina"|"9000"|"Mazda"|"Mazda 2"|"Sí"|"XXX XX2"|"2017"|"TOURING"|"Sí"|"Sí"|"Sí"|"Tela"||"Asistida"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|||||||||1|1|1|1||1|||1||||2017-08-18
533|"Mazda 2 2017"|"$ 48.000.000"|"2017"|"50 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454242755-mazda-mazda-2-2017-_JM"|"Rojo"||"50"|"Mazda"|"Mazda 2"||"JEZ110"|"2017"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
534|"Mazda 2"|"$ 32.500.000"|"2012"|"56.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454242106-mazda-2-_JM"|"Gris"||"56000"|"Mazda"|"Mazda 2"||"000000"|"2012"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
535|"Mazda 2"|"$ 36.000.000"|"2015"|"29.500 Km"|"Risaralda"|"http://articulo.tucarro.com.co/MCO-454115839-mazda-mazda-2-_JM"|"Gris"||"29500"|"Mazda"|"Mazda 2"||"HWT126"|"2015"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
536|"Mazda 2 2011"|"$ 29.900.000"|"2011"|"78.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454119920-mazda-mazda-2-2011-_JM"|"Blanco"||"78000"|"Mazda"|"Mazda 2"||"KBT750"|"2011"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
537|"Mazda 2 Zoom"|"$ 27.800.000"|"2012"|"76.000 Km"|"Atlántico"|"http://articulo.tucarro.com.co/MCO-454067315-mazda-mazda-2-_JM"|"Negro"|"Gasolina"|"76000"|"Mazda"|"Mazda 2"|"No"|"kli214"|"2012"|"zoom"|"No"|"Sí"|"Sí"|"Cuero"|"4"|"Mecánica"|"No"|"1.5"|"Sí"|"No"|"CD"|"4x2"|"Mecánica"|"Eléctricos"|1|||1||||||1||||||||1||||2017-08-18
538|"Mazda 2"|"$ 24.500.000"|"2009"|"82.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454488073-mazda-mazda-2-_JM"|"Plateado"||"82000"|"Mazda"|"Mazda 2"||"Dca456"|"2009"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
539|"Mazda 2 2009"|"$ 25.500.000"|"2009"|"80.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454078720-mazda-mazda-2-2009-_JM"|"Beige"||"80000"|"Mazda"|"Mazda 2"||"PFM 066"|"2009"|||||||"Hidráulica"|||"No"||||"Mecánica"|||||||||||||||||||||||2017-08-18
540|"Mazda 2 Grand Touring"|"$ 43.500.000"|"2016"|"30.000 Km"|"Casanare"|"http://articulo.tucarro.com.co/MCO-454124541-mazda-2-grand-touring-full-equipo-_JM"|"Gris"|"Gasolina"|"30000"|"Mazda"|"Mazda 2"|"Sí"|"IOP127"|"2016"|"Grand Touring"|"Sí"|"Sí"|"Sí"|"Cuero"||"Asistida"|||"Sí"||"MP3"||"Mecánica"|"Eléctricos"|1||||||||||1|1|||1||||||1|2017-08-18
541|"Mazda 2 Sedan 1.5"|"$ 28.000.000"|"2011"|"73.000 Km"|"Tolima"|"http://articulo.tucarro.com.co/MCO-454239767-mazda-2-sedan-15-_JM"|"Otro"||"73000"|"Mazda"|"Mazda 2"||"RDW601"|"2011"|||||||"Asistida"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
542|"Se Vende Mazda 2"|"$ 24.500.000"|"2009"|"112.000 Km"|"Risaralda"|"http://articulo.tucarro.com.co/MCO-454229119-se-vende-mazda-2-_JM"|"Rojo"||"112000"|"Mazda"|"Mazda 2"||"Bogota"|"2009"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
543|"Mazda 2 Touring"|"$ 44.700.000"|"2016"|"36.700 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-453845717-mazda-2-touring-automatico-_JM"|"Blanco"|"Gasolina"|"36700"|"Mazda"|"Mazda 2"|"Sí"|"MQP343"|"2016"|"Touring"|"Sí"|"Sí"|"Sí"|"Cuero"|"4"|"Hidráulica"|"No"|"1.500"|"Sí"|"No"||"4x2"|"Automática"|"Eléctricos"|1||||||||||1|1|1||1|||1||||2017-08-18
544|"Mazda 2"|"$ 38.000.000"|"2015"|"35.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-453657548-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"35000"|"Mazda"|"Mazda 2"||"IAT614"|"2015"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|"No"|"1.6"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"||||||||||||||||||||||2017-08-18
545|"Mazda 2 2009"|"$ 21.000.000"|"2009"|"98.300 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-453765210-mazda-mazda-2-2009-_JM"|"Negro"||"98300"|"Mazda"|"Mazda 2"||"DCH313"|"2009"|||||||"Asistida"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
546|"Mazda 2 2014"|"$ 36.000.000"|"2014"|"25.858 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-453040005-mazda-mazda-2-2014-_JM"|"Rojo"||"25858"|"Mazda"|"Mazda 2"||"HSW189"|"2014"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
547|"Mazda 2"|"$ 48.500.000"|"2017"|"11.450 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454035683-mazda-mazda-2-_JM"|"Azul"|"Gasolina"|"11450"|"Mazda"|"Mazda 2"|"Sí"|"JDR655"|"2017"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"||"Sí"||"MP3"||"Automática"|"Eléctricos"|1|1||||||||1|1|1|||1|||1||||2017-08-18
548|"Mazda 2"|"$ 24.000.000"|"2008"|"72.000 Km"|"Risaralda"|"http://articulo.tucarro.com.co/MCO-454014548-mazda-mazda-2-_JM"|"Plateado"|"Gasolina"|"72000"|"Mazda"|"Mazda 2"|"Sí"|"cyx231"|"2008"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"||"Mecánica"|"Eléctricos"||1||1|1||||||1||1|1||||1||||2017-08-18
549|"Mazda 2 2009"|"$ 25.000.000"|"2009"|"125.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-453994630-mazda-mazda-2-2009-_JM"|"Gris"||"125000"|"Mazda"|"Mazda 2"||"CQW951"|"2009"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
550|"Mazda 2 2009"|"$ 27.000.000"|"2009"|"59.800 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-453835713-mazda-mazda-2-2009-_JM"|"Rojo"||"59800"|"Mazda"|"Mazda 2"||"MNZ592"|"2009"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
551|"Mazda 2"|"$ 30.500.000"|"2012"|"63.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-453240572-mazda-mazda-2-_JM"|"Negro"|"Gasolina"|"63000"|"Mazda"|"Mazda 2"||"RIX923"|"2012"||||"Sí"|"Cuero"||"Hidráulica"|"No"|"2.0"|"No"|"No"|"CD"|"4x2"|"Automática"|"Eléctricos"||1||||||||||||||||1||||2017-08-18
