"Precio"|"Modelo_anyo"|"Ubicacion"|"Color"|"Combustible"|"Recorrido"|"Departamento"|"Ciudad"|"Barrio"|"Unico"|"Placa"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"Ubicacion_r"|"Color_r"|"Combustible_r"|"Departamento_r"|"Ciudad_r"|"Barrio_r"|"Placa_r"|"Version_r"|"Asientos_r"|"Cilindros_r"|"Direccion_r"|"Motor_r"|"Sonido_r"|"Traccion_r"|"Transmision_r"|"Vidrios_r"
30000000|2012|"Bogotá D.c."|"Rojo"|"Gasolina"|49000|"Bogotá D.c. "|" Kennedy"||0|"RJW 933"|"HB"|0|0|0|"Tela"|"4L"|"Hidráulica"|0|"1500"|0|0|"CD"||"Automática"|"Eléctricos"|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|"3"|"10"|"1"|"3"|"28"||"499"|"44"|"3"|"14"|"2"|"23"|"1"||"1"|"1"
26800000|2010|"Antioquia"|"Gris"|"Gasolina"|53000|"Antioquia "|" Medellín"||0|"KBW-640"|"HB"|0|0|0|"Tela"|"4L"|"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|1|0|0|1|"1"|"5"|"1"|"1"|"33"||"320"|"44"|"3"|"14"|"2"|"23"|"2"|"1"|"2"|"1"
25500000|2010|"Antioquia"|"Gris"|"Gasolina"|102000|"Antioquia "|" Medellín"|||"FHP-646"||0|0|0|"Tela"|"4"|"Hidráulica"|0|"1500"|0||"MP3"|"4x2"|"Mecánica"|"Eléctricos"|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|"1"|"5"|"1"|"1"|"33"||"176"||"3"|"8"|"2"|"23"|"2"|"1"|"2"|"1"
47000000|2017|"Risaralda"|"Blanco"|"Gasolina"|2800|"Risaralda "|" Pereira"||0|"JJT-717"|"TOURING"|||0|"Tela"||"Hidráulica"||"1496"|0||"R/Rep."||"Mecánica"|"Eléctricos"|1|0|0|1|0|0|0|0|0|1|0|1|1|1|1|0|0|1|0|0|0|"18"|"3"|"1"|"18"|"41"||"307"|"111"|"3"||"2"|"18"|"3"||"2"|"1"
23800000|2010|"Bogotá D.c."|"Plateado"|"Gasolina"|84000|"Bogotá D.c. "|" Usaquén"|" Cedritos"|0|"RAK674"|"HATCH BACK"|0|0|0|"Tela"||"Asistida"|0|"1500"|0|0|"MP3"||"Mecánica"|"Eléctricos"|1|1|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0|1|0|0|0|"3"|"9"|"1"|"3"|"53"|"40"|"455"|"36"|"3"||"1"|"23"|"2"||"2"|"1"
36000000|2015|"Bogotá D.c."|"Rojo"|"Gasolina"|27000|"Bogotá D.c. "|" Puente Aranda"|" Puente Aranda"|0|"***-**4"|"HATCH BACK"|0|0|0|"Cuero"||"Asistida"|0|"1500"|0|0|"MP3"||"Mecánica"|"Eléctricos"|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|"3"|"10"|"1"|"3"|"42"|"130"|"11"|"36"|"1"||"1"|"23"|"2"||"2"|"1"
32000000|2012|"Antioquia"|"Gris"|"Gasolina"|79000|"Antioquia "|" Medellín"||0|"DKQ816"|"FULL EQUIPO"|0|0||"Cuero"||"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Automática"|"Eléctricos"|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|0|1|0|0|0|"1"|"5"|"1"|"1"|"33"||"140"|"23"|"1"||"2"|"23"|"2"|"1"|"1"|"1"
29800000|2011|"Antioquia"|"Negro"|"Gasolina"|92400|"Antioquia "|" Medellín"|" El Poblado"|0|"BXW-076"|"Sedan"|0|0|0|"Cuero"|"4L"|"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|1|1|1|0|1|0|0|1|0|0|1|"1"|"7"|"1"|"1"|"33"|"63"|"60"|"93"|"1"|"14"|"2"|"23"|"2"|"1"|"1"|"1"
54400000|2017|"Huila"|"Otro"|"Gasolina"|0|"Huila "|" Neiva"|||"***"|"M2 GRAND TOURING"|0|0|0|"Cuero"||"Asistida"|0|"1500"|0||"MP3"||"Mecánica"|"Eléctricos"|1|0|0|0|0|0|0|0|0|1|1|1|0|0|1|1|0|1|0|0|1|"12"|"8"|"1"|"12"|"38"||"6"|"57"|"1"||"1"|"23"|"2"||"2"|"1"
23000000|2010|"Bogotá D.c."|"Rojo"|"Gasolina"|106000|"Bogotá D.c. "|" Suba"|" San Cipriano"|0|"DCT-268"|"hatchback"|0|0|0|"Tela"||"Hidráulica"|0|"1500"|0||"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|0|0|0|0|0|0|0|0|1|0|1|0|1|0|0|0|1|0|0|0|"3"|"10"|"1"|"3"|"49"|"142"|"107"|"38"|"3"||"2"|"23"|"2"|"1"|"2"|"1"
51000000|2017|"Bogotá D.c."|"Rojo"|"Gasolina"|10000|"Bogotá D.c. "|" Barrios Unidos"|" San Miguel"|0|"JEK-918"||0|0|0|"Tela"||"Asistida"|0|"1.5"|0|0|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|"3"|"10"|"1"|"3"|"5"|"150"|"301"||"3"||"1"|"5"|"2"|"1"|"2"|"1"
24800000|2010|"Bogotá D.c."|"Azul"|"Gasolina"|84000|"Bogotá D.c. "|" Bogota"|||"DDE444"|||0|0|"Cuero"||"Hidráulica"|0||0|0|||"Mecánica"|"Eléctricos"|1|1|0|0|0|0|0|0|0|0|1|1|0|1|1|0|0|1|0|0|0|"3"|"1"|"1"|"3"|"7"||"110"||"1"||"2"||||"2"|"1"
24500000|2009|"Bogotá D.c."|"Gris"|"Gasolina"|77000|"Bogotá D.c. "|" Usaquén"|" La Calleja"||"CUN-052"|"1.5 AT FE"|0|0|0|"Cuero"||"Hidráulica"||"1500"|0||"MP3"||"Automática"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|0|0|0|0|"3"|"5"|"1"|"3"|"53"|"81"|"73"|"1"|"1"||"2"|"23"|"2"||"1"|"1"
28900000|2010|"Antioquia"|"Blanco"|"Gasolina"|53000|"Antioquia "|" Medellín"|||"KBP-363"||0|0|0|"Cuero"|"4"|"Hidráulica"|0|"1500"|0||"MP3"|"4x2"|"Automática"|"Eléctricos"|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|1|0|0|0|"1"|"3"|"1"|"1"|"33"||"313"||"1"|"8"|"2"|"23"|"2"|"1"|"1"|"1"
28000000|2011|"Bogotá D.c."|"Negro"|"Gasolina"|35000|"Bogotá D.c. "|" Usaquén"|" La Carolina"|0|"*** ***"|"Sedan Automatico"|0|0|0|"Tela"||"Hidráulica"|0|"1500"|0||"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1|0|0|0|0|0|0|0|0|1|1|1|0|1|0|0|1|0|0|0|"3"|"7"|"1"|"3"|"53"|"83"|"16"|"96"|"3"||"2"|"23"|"2"|"1"|"1"|"1"
30000000|2013|"Bogotá D.c."|"Gris"|"Gasolina"|37000|"Bogotá D.c. "|" Suba"|" La Colina Campestre"|0|"*** **4"||0|0|0|"Cuero"||"Asistida"|0|"1500"|0|0|"CD"|"4x2"|"Mecánica"|"Eléctricos"|1|0|0|1|0|0|0|1|1|1|1|1|0|0|0|1|0|1|0|0|0|"3"|"5"|"1"|"3"|"49"|"85"|"17"||"1"||"1"|"23"|"1"|"1"|"2"|"1"
36900000|2014|"Antioquia"|"Blanco"|"Gasolina"|32500|"Antioquia "|" Medellín"||0|"HXV-306"|"TAKESHI AUT"|0|0|0|"Cuero"|"4"|"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|1|1|1|0|1|1|0|1|0|0|1|"1"|"3"|"1"|"1"|"33"||"229"|"107"|"1"|"8"|"2"|"23"|"2"|"1"|"1"|"1"
34500000|2013|"Risaralda"|"Gris"|"Gasolina"|55000|"Risaralda "|" Pereira"||0|"NEN-055"||0|0|0|"Cuero"||"Hidráulica"|0|"1500"|0||"MP3"||"Automática"|"Eléctricos"|1|0|0|0|0|0|0|0|0|1|0|0|1|0|1|0|0|1|0|0|0|"18"|"5"|"1"|"18"|"41"||"432"||"1"||"2"|"23"|"2"||"1"|"1"
27500000|2011|"Bogotá D.c."|"Rojo"|"Gasolina"|90000|"Bogotá D.c. "|" Engativa"|" Bolivia"|0|"KII-615"|"Sedan"|0|0|0|"Tela"||"Asistida"|0|"1500"|0|0|"MP3"||"Automática"|"Eléctricos"|1|1|0|0|1|1|1|0|0|0|1|1|1|1|1|0|0|1|0|0|0|"3"|"10"|"1"|"3"|"21"|"26"|"345"|"93"|"3"||"1"|"23"|"2"||"1"|"1"
52500000|2017|"Bogotá D.c."|"Rojo"|"Gasolina"|27000|"Bogotá D.c. "|" Usaquén"|" Multicentro"|0|"IXU-179"|"Gran Touring"|0|0|0|"Tela"||"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|"3"|"10"|"1"|"3"|"53"|"115"|"287"|"24"|"3"||"2"|"23"|"2"|"1"|"1"|"1"
32900000|2014|"Bogotá D.c."|"Rojo"|"Gasolina"|63000|"Bogotá D.c. "|" Puente Aranda"|" San Rafael"|0|"HTO-558"||0|0|0|"Tela"||"Asistida"||"1500"|0||"MP3"||"Mecánica"|"Eléctricos"|1|1|0|1|0|0|0|0|0|1|1|1|1|0|0|0|0|1|0|0|1|"3"|"10"|"1"|"3"|"42"|"153"|"224"||"3"||"1"|"23"|"2"||"2"|"1"
26500000|2011|"Bogotá D.c."|"Blanco"|"Gasolina"|88000|"Bogotá D.c. "|" Engativa"|" Normandía"|0|"RLQ-398"||0|0|0|"Tela"||"Asistida"|0|"1500"|0|0|"MP3"||"Mecánica"|"Eléctricos"|1|0|0|0|1|0|0|0|0|0|1|1|1|0|0|0|0|1|0|0|0|"3"|"3"|"1"|"3"|"21"|"117"|"506"||"3"||"1"|"23"|"2"||"2"|"1"
29800000|2012|"Bogotá D.c."|"Gris"|"Gasolina"|35000|"Bogotá D.c. "|" Chapinero"|" Chapinero Alto"|0|"RJT-861"|"HB"||0|0|"Cuero"||"Hidráulica"|0|"1.5"|0||"CD"||"Mecánica"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|"3"|"5"|"1"|"3"|"15"|"42"|"498"|"44"|"1"||"2"|"5"|"1"||"2"|"1"
26500000|2011|"Bogotá D.c."|"Rojo"|"Gasolina"|100000|"Bogotá D.c. "|" Puente Aranda"|" Primavera"|0|"RLU-837"|"SD"||0|0|"Semi-cuero"||"Hidráulica"||"1500"|0||"MP3"||"Mecánica"|"Eléctricos"|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"3"|"10"|"1"|"3"|"42"|"128"|"508"|"91"|"2"||"2"|"23"|"2"||"2"|"1"
25500000|2009|"Antioquia"|"Beige"|"Gasolina"|79600|"Antioquia "|" Medellín"|" El Poblado"|0|"FHB-984"|"HB"|0|0|0|"Tela"|"4L"|"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|0|0|0|0|0|0|0|0|1|0|1|1|0|1|1|0|1|0|0|1|"1"|"2"|"1"|"1"|"33"|"63"|"164"|"44"|"3"|"14"|"2"|"23"|"2"|"1"|"2"|"1"
35000000|2015|"Valle Del Cauca"|"Blanco"|"Gasolina"|43000|"Valle Del Cauca "|" Cali"||0|"UGP-079"||0|0|0|"Tela"||"Hidráulica"||"1500"|0||"MP3"||"Mecánica"|"Eléctricos"|0|0|0|0|0|0|0|0|0|0|1|1|1|0|1|0|0|1|0|0|0|"21"|"3"|"1"|"21"|"13"||"540"||"3"||"2"|"23"|"2"||"2"|"1"
27000000|2010|"Valle Del Cauca"|"Blanco"|"Gasolina"|83930|"Valle Del Cauca "|" Cali"|||"KDT-315"||0|0|0|"Tela"||"Hidráulica"||"1500"|0||"MP3"||"Mecánica"|"Eléctricos"|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|1|0|0|0|"21"|"3"|"1"|"21"|"13"||"328"||"3"||"2"|"23"|"2"||"2"|"1"
50000000|2016|"Bogotá D.c."|"Rojo"|"Gasolina"|8787|"Bogotá D.c. "|" Suba"|" Colina Campestre I y II Etapa"|0|"***-**3"|"Gran Touring"|0|0|0|"Tela"||"Hidráulica"|0|"1500"|0|0|"MP3"||"Automática"|"Eléctricos"|1|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|0|1|0|0|0|"3"|"10"|"1"|"3"|"49"|"52"|"10"|"24"|"3"||"2"|"23"|"2"||"1"|"1"
24000000|2008|"Bogotá D.c."|"Gris"|"Gasolina"|47000|"Bogotá D.c. "|" Bogota"||0|"CQL420"||0|0|0|"Tela"||"Hidráulica"|0|"1500"|0|0|"CD"||"Automática"|"Eléctricos"|1|1|0|0|0|0|0|0|0|0|1|1|1|1|0|0|0|1|0|0|0|"3"|"5"|"1"|"3"|"7"||"68"||"3"||"2"|"23"|"1"||"1"|"1"
34890000|2014|"Antioquia"|"Blanco"|"Gasolina"|15200|"Antioquia "|" Medellín"||0|"HFM369"||0|0|0|"Tela"||"Asistida"|0|"1498"|0|0|"MP3"||"Mecánica"|"Eléctricos"|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|"1"|"3"|"1"|"1"|"33"||"195"||"3"||"1"|"19"|"2"||"2"|"1"
29700000|2011|"Antioquia"|"Plateado"|"Gasolina"|47000|"Antioquia "|" Medellín"||0|"KMB-206"|"HB"|0|0|0|"Tela"|"4L"|"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|1|1|1|0|1|0|0|0|0|0|0|"1"|"9"|"1"|"1"|"33"||"364"|"44"|"3"|"14"|"2"|"23"|"2"|"1"|"1"|"1"
24000000|2009|"Antioquia"|"Verde"|"Gasolina"|111000|"Antioquia "|" Medellín"||0|"FHB-996"|"HB"|0|0|0|"Tela"|"4L"|"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|1|0|0|1|"1"|"11"|"1"|"1"|"33"||"165"|"44"|"3"|"14"|"2"|"23"|"2"|"1"|"2"|"1"
31400000|2013|"Bogotá D.c."|"Blanco"|"Gasolina"|34750|"Bogotá D.c. "|" Chapinero"|" El Chicó"|0|"NCW-244"|||0|0|"Tela"||"Hidráulica"||"1500"|0||"MP3"||"Mecánica"|"Eléctricos"|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|"3"|"3"|"1"|"3"|"15"|"60"|"426"||"3"||"2"|"23"|"2"||"2"|"1"
