"Id","Titulo","Precio","Modelo_anyo","Kilometros","Ubicacion","URL","Color","Combustible","Recorrido","Marca","Modelo","Unico","Placa","Anyo","Version","FrenosABS","Aire","Airbag","Asientos","Cilindros","Direccion","Financiamiento","Motor","Negociable","MotorReparado","Sonido","Traccion","Transmision","Vidrios"
74,"Mazda 2 2014","$ 34.890.000","2014","15.200 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452880893-mazda-mazda-2-2014-_JM","Blanco","Gasolina","15200","Mazda","Mazda 2","No","HFM369","2014",,"Sí","Sí","Sí","Tela",,"Asistida","No","1498","Sí","No","MP3",,"Mecánica","Eléctricos"
75,"Mazda 2 2009","$ 25.000.000","2009","80.000 Km","Valle Del Cauca","http://articulo.tucarro.com.co/MCO-452322250-mazda-mazda-2-2009-_JM","Gris",,"80000","Mazda","Mazda 2",,"CUQ320","2009",,,,,,,"Hidráulica",,,"Sí",,,,"Automática",
76,"Mazda 2 Hatchback","$ 24.000.000","2010","106.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452763387-mazda-mazda-2-_JM","Rojo","Gasolina","106000","Mazda","Mazda 2","No","DCT-268","2010","hatchback","Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí",,"MP3","4x2","Mecánica","Eléctricos"
77,"Mazda 2 Sport","$ 33.500.000","2014","28.100 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453306156-mazda-mazda-2-sport-_JM","Blanco","Gasolina","28100","Mazda","Mazda 2","Sí","HIU-841","2014","Sport","Sí","Sí","Sí","Cuero",,"Hidráulica","No","1500","Sí","No","MP3",,"Mecánica","Eléctricos"
78,"Mazda 2 Gran Touring","$ 57.000.000","2018","1.300 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453670985-mazda-mazda-2-gran-touring-_JM","Gris","Gasolina","1300","Mazda","Mazda 2","Sí","DQQ356","2018","Gran Touring","Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
79,"Mazda 2","$ 39.500.000","2015","25.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451700236-mazda-mazda-2-_JM","Plateado","Gasolina","25000","Mazda","Mazda 2","Sí","UCL608","2015",,"Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3",,"Automática","Eléctricos"
80,"Mazda 2 Grand Touring Mec Paño 2018","$ 54.950.000","2018","0 Km","Tolima","http://articulo.tucarro.com.co/MCO-452037796-mazda-2-grand-touring-mec-pano-2018-_JM","Rojo","Gasolina","0","Mazda","Mazda 2","Sí","0","2018",,"Sí","Sí","Sí","Tela",,"Asistida","Sí","1500","No","No","MP3",,"Mecánica","Eléctricos"
81,"Mazda 2 Hb","$ 31.500.000","2012","41.600 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453104584-mazda-mazda-2-hb-_JM","Azul","Gasolina","41600","Mazda","Mazda 2","No","RLR-096","2012","HB","Sí","Sí","Sí","Semi-cuero",,"Asistida","No","1498","Sí","No","MP3","4x2","Mecánica","Eléctricos"
82,"Mazda 2 Mazda 2 Mt","$ 30.000.000","2009","40.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453102344-mazda-mazda-2-mt-_JM","Plateado","Gasolina","40000","Mazda","Mazda 2","Sí","CZL556","2009","MAZDA 2 MT","Sí","Sí","Sí","Tela","4","Asistida","No","1500CC","No","No","MP3",,"Mecánica","Eléctricos"
83,"Mazda 2 Touring","$ 47.000.000","2017","2.800 Km","Risaralda","http://articulo.tucarro.com.co/MCO-453039608-mazda-mazda-2-touring-_JM","Blanco","Gasolina","2800","Mazda","Mazda 2","Sí","JJT-717","2017","TOURING",,,"Sí","Tela",,"Hidráulica",,"1496","Sí",,"R/Rep.",,"Mecánica","Eléctricos"
84,"Mazda 2 Hb","$ 28.500.000","2010","65.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-451688948-mazda-mazda-2-hb-_JM","Gris","Gasolina","65000","Mazda","Mazda 2","No","***-***","2010","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
85,"Mazda 2 Hb","$ 27.300.000","2009","77.342 Km","Antioquia","http://articulo.tucarro.com.co/MCO-451108568-mazda-mazda-2-hb-_JM","Gris","Gasolina","77342","Mazda","Mazda 2","Sí","MOO-342","2009","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
86,"Mazda 2 Mazda 2, Sedan F.e. 1,5l","$ 26.650.000","2011","100.593 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453191097-mazda-2-sedan-15l-mecanico-full-equipo-hermoso-_JM","Plateado","Gasolina","100593","Mazda","Mazda 2",,"KGD482","2011","Mazda 2, Sedan F.E. 1,5L","Sí","Sí","Sí","Cuero","4, 16 VALVULAS","Hidráulica","No","1.498 Cms3","Sí","No","MP3","4x2","Mecánica","Eléctricos"
87,"Mazda 2, 2018","$ 59.900.000","2018","0 Km","Huila","http://articulo.tucarro.com.co/MCO-445466249-mazda-2-2018-_JM","Azul",,"0","Mazda","Mazda 2",,"0","2018",,,,,,,"Asistida",,,"No",,,,"Automática",
88,"Mazda 2","$ 28.600.000","2011","64.500 Km","Antioquia","http://articulo.tucarro.com.co/MCO-450488380-mazda-mazda-2-_JM","Gris","Gasolina","64500","Mazda","Mazda 2","No","KCY978","2011",,"Sí","Sí","Sí","Tela",,"Hidráulica","No","1500cc","Sí","No","MP3",,"Automática","Eléctricos"
89,"Mazda 2 Touring","$ 43.500.000","2016","25.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452091450-mazda-2-touring-_JM","Gris","Gasolina","25000","Mazda","Mazda 2","Sí","IFO138","2016",,"Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
90,"Mazda 2 Hb","$ 28.500.000","2011","69.013 Km","Antioquia","http://articulo.tucarro.com.co/MCO-453450158-mazda-mazda-2-hb-_JM","Blanco","Gasolina","69013","Mazda","Mazda 2","No","***-***","2011","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
91,"Mazda 2 Mazda 2 Hb At","$ 29.500.000","2011","78.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-450350388-mazda-mazda-2-mazda-2-hb-at-_JM","Beige","Gasolina","78000","Mazda","Mazda 2","No","KJA-227","2011","MAZDA 2 HB AT","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
92,"Mazda 2","$ 31.400.000","2013","34.750 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452705771-mazda-mazda-2-_JM","Blanco","Gasolina","34750","Mazda","Mazda 2","Sí","NCW-244","2013",,,"Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"MP3",,"Mecánica","Eléctricos"
93,"Mazda 2","$ 23.500.000","2010","94.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452762180-mazda-mazda-2-_JM","Gris","Gasolina","94000","Mazda","Mazda 2","Sí","DDP-534","2010",,"Sí","Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"MP3","4x2","Mecánica","Eléctricos"
94,"Mazda 2 Gran Touring","$ 51.500.000","2016","8.787 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452741432-mazda-mazda-2-gran-touring-_JM","Rojo","Gasolina","8787","Mazda","Mazda 2","Sí","***-**3","2016","Gran Touring","Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3",,"Automática","Eléctricos"
95,"Mazda 2 Hb","$ 30.000.000","2012","49.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452425661-mazda-mazda-2-hb-_JM","Rojo","Gasolina","49000","Mazda","Mazda 2","Sí","RJW 933","2012","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","CD",,"Automática","Eléctricos"
96,"Mazda 2 Grand Touring","$ 50.900.000","2016","32.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-450742923-mazda-mazda-2-touring-_JM","Gris","Gasolina","32000","Mazda","Mazda 2","Sí",,"2016","Grand Touring","Sí","Sí","Sí","Cuero","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
97,"Mazda 2","$ 33.000.000","2015","50.000 Km","Santander","http://articulo.tucarro.com.co/MCO-451047391-mazda-mazda-2-_JM","Rojo","Gasolina","50000","Mazda","Mazda 2","Sí","***-**6","2015",,"Sí","Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"MP3",,"Mecánica","Eléctricos"
98,"Mazda 2 Full Equipo","$ 32.000.000","2012","79.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452947430-mazda-mazda-2-full-equipo-_JM","Gris","Gasolina","79000","Mazda","Mazda 2","Sí","DKQ816","2012","FULL EQUIPO","Sí","Sí",,"Cuero",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
99,"Mazda 2 Gran Touring","$ 52.500.000","2017","27.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452424874-mazda-mazda-2-gran-touring-_JM","Rojo","Gasolina","27000","Mazda","Mazda 2","Sí","IXU-179","2017","Gran Touring","Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
100,"Mazda 2 Hb","$ 30.500.000","2011","47.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452254874-mazda-mazda-2-hb-_JM","Plateado","Gasolina","47000","Mazda","Mazda 2","No","KMB-206","2011","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
101,"Mazda 2 Grand Touring","$ 49.000.000","2016","38.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452227912-mazda-mazda-2-grand-touring-_JM","Gris","Gasolina","38000","Mazda","Mazda 2","Sí","OIS-425","2016","Grand Touring","Sí","Sí","Sí","Cuero","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
102,"Mazda 2","$ 26.000.000","2010","50.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452793415-mazda-mazda-2-_JM","Gris","Gasolina","50000","Mazda","Mazda 2","No","RAP-481","2010",,"Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
103,"Mazda 2 Sport F.e.","$ 27.000.000","2012","57.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453580842-mazda-mazda-2-sport-fe-_JM","Blanco","Gasolina","57000","Mazda","Mazda 2","Sí","RMT-965","2012","SPORT F.E.","Sí","Sí","Sí","Cuero",,"Hidráulica",,"1500","No",,"MP3","4x2","Mecánica","Eléctricos"
104,"Mazda 2 Sedan","$ 29.800.000","2011","92.400 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452874527-mazda-mazda-2-sedan-_JM","Negro","Gasolina","92400","Mazda","Mazda 2","No","BXW-076","2011","Sedan","Sí","Sí","Sí","Cuero","4L","Hidráulica","Sí","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
